web-scraper-order,web-scraper-start-url,nama,komentar
"1583431904-7121","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Pusing gw sma gojek,stiap hari cma dapet 1 atau 2 perharinya gimana mau mncukupi hidup gw dan kluarga aplagi gw pnya ank skrng ,bwt bli susu aj pas2an blum bwt mkan kurang, tolong pada pihak gojek atau pun sistem nya apalah , Kmbalikan pendapatan kmi sperti dlu lgi , ksian kluarga kmi ksian ank2 kmi...Ulasan Lengkap"
"1583431904-1169","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Maulana moezleem 0",""
"1583431904-1472","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Sahril Sahril",""
"1583431904-5670","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Anehhhhh... Masa login beda akun 1 hp nda bisa? Padahal masih 1 keluarga... Dan tidak ada buat masalah (kecuali ada pelanggaran yg d lakukan)... Tolong lebih bijaksana, klo memang tidak bisa login lebih dri 1 akun, seharusny ketika mau login yg bukan akun sebelumnya seharusny langsung tidak bisa mas...Ulasan Lengkap"
"1583431904-5146","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Dapat misi upgrade gopay, sdh diupgrade tapi hadiahnya ngga dapet Kalo bikin promosi jangan maksa gitu dong, Udah gitu selama upgrade, mau bayar pakai gopay malah selalu gagal padahal pin yang dimasukkan sdh benar Kecewa berat euy"
"1583431904-1971","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Bagus Aprilianto",""
"1583431904-763","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Gyani Sheehan",""
"1583431904-2365","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","AA Channel",""
"1583431904-5361","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Tolong lebih transparan dalam memberi penjelasan voucher di awal. Potongan 12 rb untuk min pembelian 65 rb ??? Dan penjelasan bisa di baca setelah membeli voucher."
"1583431904-3088","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Kang Bacott",""
"1583431904-7622","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","mau order ga bisa gimana ini... apa mau bangkrut apa gimana ... jadi kecewa sayaaaaa!!"
"1583431904-5003","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Skrg mahal gak ada vocher food kalo ada jga harus belanja lumayan banyak lah mending gw pergi sendiri kalo gojeknya lumayan membantu tapi ya gak ada vocer kalo di itung2 ya lebih baik gw bli motor karna tempat kerja sich gak jauh2 amat.cuma yg gak enak food soalnya gw doyan makan kalo mahal bgt ya o...Ulasan Lengkap"
"1583431904-1895","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Syafiq Azizi",""
"1583431904-1363","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Kada_Hakun",""
"1583431904-6531","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Tolong kasi riwayat pesanan yg di cancel secara tiba2."
"1583431904-6367","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Penis besar panjang keras kuat tahan lama dan tidak boleh dilakukan menjelang persalinan normal untuk ibu hamil yang mengalami menopause dini hari tadi dan tidak boleh dilakukan menjelang persalinan normal untuk ibu hamil yang mengalami menopause dini hari tadi dan tidak boleh dilakukan menjelang pe...Ulasan Lengkap"
"1583431904-7187","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Buat PT GI. Kau benahi sistem kau itu.. Banyak yg ambil keuntungan pribadi didalamnya"
"1583431904-2184","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Irwan Retyanto",""
"1583431904-3492","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Samsul_ Hidayat",""
"1583431904-2150","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Ahmad Rifai",""
"1583431904-749","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Bobby",""
"1583431904-6639","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Sy pesan makanan selalu gak sesuai gambar dan gak sesuai harganya"
"1583431904-3399","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Jhon Efendi",""
"1583431904-3556","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Rea Zulfi Argesta",""
"1583431904-1057","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Rusli Jek",""
"1583431904-6257","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","No cs d sembunyikan. Giliran order tembakan susah d lacak. Anjink emang ni system taiiiiii"
"1583431904-1568","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","mufida 090893",""
"1583431904-6705","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Makin kesni makin ga jelas . Ongkir gofood jarak cuman 0.8km 8rb , busett dah . Promo diskon 50% pun jatuhnya masih mahal ."
"1583431904-6812","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","grabfood harga makanannya makin mahal, ongkir g berubah, msh trrjangkau sprt biasa. nah kl gofood, kebalikannya. ongkirnya yg gila2an. makin kesini makin g bener emg yg online2 ini. mending beli lgsg ajalah"
"1583431904-2380","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Mariati puryadi",""
