web-scraper-order,web-scraper-start-url,nama,komentar
"1583432296-8935","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Harun Dian",""
"1583432296-10932","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Nurii Uswatun Khasanah",""
"1583432296-11695","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Zaedy Wijaya",""
"1583432296-11571","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Hasyim Asari",""
"1583432296-12200","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Aplikasi yang sangat membantu dan bermanfaat baik .. Terima Kasih Gojek"
"1583432296-13918","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Banyak2 promo ya, kan punya negeri sendiri dan CEO nya udah jadi mentri"
"1583432296-11608","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Tri Wans",""
"1583432296-13946","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Sangat membantu dalam mengantar perjalan kami sampai tujuan"
"1583432296-10623","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","nuammar nur fajry",""
"1583432296-13196","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Sangat membantu ketika kita sedang sakit dan soelah2 tiada lagi harapan sehingga harapan itu muncul akibat adanya aplikasi gojek yg da"
"1583432296-9216","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","firman mukhammad",""
"1583432296-11615","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","A Ahmadramdani",""
"1583432296-10596","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Elfian Eki",""
"1583432296-8968","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Baniyah Sutarti",""
"1583432296-12792","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Semakin hebat dan tehnologi yang tepat guna...tepat sasaran dan tepat waktu... semakin sukses ya... maju terus... jadilah yang terbaik diantara yang terbaik..."
"1583432296-13683","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Sangat membantu dalam memesan makanan dan penggunaan transportasi ke tujuan yang bahkan tidak diketahui"
"1583432296-10897","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Muhamad Pandu",""
"1583432296-14331","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Terbaik dalam online transportasi selalu idola saya"
"1583432296-14639","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Membantu mempercepat perjalanan"
"1583432296-12890","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Ini applikasi nya sangat berguna jadi saya bisa sampai ditempat tepat waktuu"
"1583432296-9477","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Aku Dika",""
"1583432296-11452","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Theresia Prayogo",""
"1583432296-12018","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Tinggal pencet, semua jadi mudah. Ini aplikasi kantong ajaibnya doraemon versi indonesia. Jos.. 5 jempol dari gue.. Banyakin fitur buat nolong sodara kita yg membutuhkan.."
"1583432296-12174","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Terima kasih gojek,smoga kinerjamu tambah keren n tetap semangat n slalu memuaskan konsumen."
"1583432296-13232","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","tolong tambahin fitur cetak struk bluetoot thermal, untuk transfer antar bank. terimakasih"
"1583432296-13769","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Karya anak bangsa untuk kemajuan transportasi online masyarakat indonesia"
"1583432296-12400","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","ok, pertahankan keamanan supaya aplikasi gojek tidak di salah gunakan oleh orang yg tidak bertanggung jawab, kasian yg orang benar2 petugas gojek jd tercemar namanya."
"1583432296-13613","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Sangat bermanfaat, untuk kehidupan zaman sekarang, ad bnyak diskonya lagi Tq , Gojek indonesia"
"1583432296-14075","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Good sangat memudahkan untuk melengkapi kbutuhan sehari hari."
